English,Estonian,Source,Domain,Definition_Short,Link
full week of pregnancy,täisrasedusnädal,eki_TAI,health,raseduse kestuse arvutamiseks kasutatav 7-päevane nädal,https://sonaveeb.ee/search/unif/dlall/TAI/full%20week%20of%20pregnancy
full-term newborn,ajaline laps,eki_TAI,health,"pärast 37. ja enne 42. täisrasedusnädalat sündinud laps; vaata ka enneaegne laps, ülekantud laps",https://sonaveeb.ee/search/unif/dlall/TAI/full-term%20newborn
functioning,funktsioneerimisvõime,eki_TAI,health,"inimese füüsiline, psühholoogiline ja sotsiaalne võimekus tulla toime oma elukeskkonnas igapäevaste tegevuste ja olukordadega, mis on talle vajalikud ...",https://sonaveeb.ee/search/unif/dlall/TAI/functioning
general mortality rate,(no ET term),eki_TAI,health,surmajuhtude arv aastas aastakeskmise rahvastiku kohta,https://sonaveeb.ee/search/unif/dlall/TAI/general%20mortality%20rate
GIVE,suhete toetamise oskused,eki_dkt,psychology/therapy,"suhtetõhususe oskuste kogumik, mis on suunatud teise inimesega suhte säilitamisele või parandamisele, püüdes samal ajal suhtluses soovitut saavutada",https://sonaveeb.ee/search/unif/dlall/dkt/GIVE
grandiosity,(no ET term),eki_skt,psychology/therapy,"eeldus, et ollakse teistest üle, omatakse eriõiguseid ja ollakse väärt erikohtlemist ega lähtuta vastastikususe põhimõttest inimestevahelises suhtluse...",https://sonaveeb.ee/search/unif/dlall/skt/grandiosity
grief,lein,eki_kriis,crisis,lähedase vm armastatud inimese surmast tingitud tugev hingeline kannatus,https://sonaveeb.ee/search/unif/dlall/kriis/grief
grief counseling,(no ET term),eki_kriis,crisis,kriisi- ja traumateadlik psühholoogiline ja/ või psühhosotsiaalne ja/ või hingehoidlik nõustamine kaotusvalu ja leinaprotsessi mõtestamiseks,https://sonaveeb.ee/search/unif/dlall/kriis/grief%20counseling
grief depression,leinadepressioon,eki_kriis,crisis,konkreetsest kaotusest tingitud meeleolu langus ning emotsionaalne võimetus kaotuse kõrval tulevikuvõimalusi näha,https://sonaveeb.ee/search/unif/dlall/kriis/grief%20depression
group leader,oskuste grupi juht,eki_dkt,psychology/therapy,"üks kahest grupiviisilise oskuste õppe läbiviijatest, kelle ülesanne on juhtida kohtumiste alustamise, koduse harjutamise ülevaatamise ning uute oskus...",https://sonaveeb.ee/search/unif/dlall/dkt/group%20leader
guardian,(no ET term),eki_TAI,health,"a person caring for a child of whom he or she is not the parent (usually an orphan), a ​person who has the ​legal ​right and ​responsibility of taking...",https://sonaveeb.ee/search/unif/dlall/TAI/guardian
guardianship,(no ET term),eki_TAI,health,"hoolitsus teovõimetute isikute eest, õigusinstituut, mille eesmärgiks on korraldada kaitset isikutele, kes ise ei suuda oma õigusi teostada ning vara ...",https://sonaveeb.ee/search/unif/dlall/TAI/guardianship
guidance,(no ET term),eki_TAI,health,inimese suunamine nõuannete ja juhtnööridega,https://sonaveeb.ee/search/unif/dlall/TAI/guidance
half-smile,(no ET term),eki_dkt,psychology/therapy,"DKT oskus, mille eesmärgiks on reaalsuse aktsepteerimine oma kehaga, lõdvestades nägu, kael ja õlapiirkonna lihased, ning naeratades pooleldi oma huul...",https://sonaveeb.ee/search/unif/dlall/dkt/half-smile
happy child mode,õnneliku lapse olek,eki_skt,psychology/therapy,"lapse olek, milles tuntakse end rõõmsa, rahuloleva ja armastatuna, väljendatakse end spontaanselt ja mänguliselt ning see olek ei ole seotud ühegi var...",https://sonaveeb.ee/search/unif/dlall/skt/happy%20child%20mode
health,tervis,eki_TAI,health,"organismi normaalne, häireteta elutegevus, sellest johtuv kehaline, sotsiaalne ja vaimne heaolu, (üldisemalt:) organismi seisund",https://sonaveeb.ee/search/unif/dlall/TAI/health
health care,(no ET term),eki_TAI,health,"tervise edendamise, säilitamise ja tugevdamisega ning haiguste ennetamise ja ravimisega tegelev tervisekaitse ja arstiabi süsteem ja valdkond, jõuping...",https://sonaveeb.ee/search/unif/dlall/TAI/health%20care
health provider,(no ET term),eki_TAI,health,"tervishoiuteenust pakkuv tervishoiutöötaja või tervishoiuasutus, tervishoiu osapool, kellele saab määrata üht või enamat ravivolitust",https://sonaveeb.ee/search/unif/dlall/TAI/health%20provider
health service provider,(no ET term),eki_TAI,health,"tervishoiuteenust pakkuv tervishoiutöötaja või tervishoiuasutus, tervishoiu osapool, kellele saab määrata üht või enamat ravivolitust",https://sonaveeb.ee/search/unif/dlall/TAI/health%20service%20provider
healthcare,(no ET term),eki_TAI,health,"tervise edendamise, säilitamise ja tugevdamisega ning haiguste ennetamise ja ravimisega tegelev tervisekaitse ja arstiabi süsteem ja valdkond, jõuping...",https://sonaveeb.ee/search/unif/dlall/TAI/healthcare
healthcare actor,tervishoiu osapool,eki_TAI,health,"tervishoius osalev organisatsioon või isik, organization or person participating in healthcare",https://sonaveeb.ee/search/unif/dlall/TAI/healthcare%20actor
healthcare delivery organization,(no ET term),eki_TAI,health,"tervishoiuteenuse osutaja, millel on organisatsiooni roll",https://sonaveeb.ee/search/unif/dlall/TAI/healthcare%20delivery%20organization
healthcare organization,(no ET term),eki_TAI,health,"tervishoiuteenuse osutaja, millel on organisatsiooni roll",https://sonaveeb.ee/search/unif/dlall/TAI/healthcare%20organization
healthcare party,(no ET term),eki_TAI,health,"tervishoius osalev organisatsioon või isik, organization or person participating in healthcare",https://sonaveeb.ee/search/unif/dlall/TAI/healthcare%20party
healthcare provider,(no ET term),eki_TAI,health,"tervishoiuteenust pakkuv tervishoiutöötaja või tervishoiuasutus, tervishoiu osapool, kellele saab määrata üht või enamat ravivolitust",https://sonaveeb.ee/search/unif/dlall/TAI/healthcare%20provider
healthcare service provider,(no ET term),eki_TAI,health,"tervishoiuteenust pakkuv tervishoiutöötaja või tervishoiuasutus, tervishoiu osapool, kellele saab määrata üht või enamat ravivolitust",https://sonaveeb.ee/search/unif/dlall/TAI/healthcare%20service%20provider
healthy adult mode,terve täiskasvanu olek,eki_skt,psychology/therapy,"üks funktsionaalsetest olekutest, mida iseloomustab toimetulevus ja tugevus; hõlmab kohastumuslikke vastuseid ümbritsevale keskkonnale, mis on vajalik...",https://sonaveeb.ee/search/unif/dlall/skt/healthy%20adult%20mode
healthy boundaries - developed self,eluterved piirid ja küps eneseküllasus,eki_skt,psychology/therapy,"eakohane sõltumatus oma vanematest, having developed a healthy independence from one's parents",https://sonaveeb.ee/search/unif/dlall/skt/healthy%20boundaries%20-%20developed%20self
healthy mode,funktsionaalne olek,eki_skt,psychology/therapy,"üks kategooria skeemi olekutest, mis sisaldab kohastumuslikke vastuseid täiskasvanuea keskkonnale ning võimet olla kontaktis lapseeast pärit loovate j...",https://sonaveeb.ee/search/unif/dlall/skt/healthy%20mode
healthy self interest – self care,eluterve enesearmastus,eki_skt,psychology/therapy,"võime hoida tasakaalu enda vajaduste arvestamise ja teiste abistamise vahel, ability to healthily balance considering one's own needs and helping othe...",https://sonaveeb.ee/search/unif/dlall/skt/healthy%20self%20interest%20%E2%80%93%20self%20care
healthy self reliance - competence,eluterve eneseusaldus ja kompetentsus,eki_skt,psychology/therapy,"eeldus, et ollakse võimeline iseseisvalt igapäevaeluga toime tulema, feeling capable of independently coping with everyday life",https://sonaveeb.ee/search/unif/dlall/skt/healthy%20self%20reliance%20-%20competence
healthy self-control,eluterve enesekontroll,eki_skt,psychology/therapy,"võime järgida pikaajalisi eesmärke, mis nõuavad püsivust ja vahetu kasu saamise edasilükkamist, ability to follow long-term goals that require delayed...",https://sonaveeb.ee/search/unif/dlall/skt/healthy%20self-control
healthy self-discipline,(no ET term),eki_skt,psychology/therapy,"võime järgida pikaajalisi eesmärke, mis nõuavad püsivust ja vahetu kasu saamise edasilükkamist, ability to follow long-term goals that require delayed...",https://sonaveeb.ee/search/unif/dlall/skt/healthy%20self-discipline
hereditary disease,pärilik haigus,eki_TAI,health,mutantse geeni põhjustatud patoloogia; vt ka kaasasündinud haigus,https://sonaveeb.ee/search/unif/dlall/TAI/hereditary%20disease
home birth,(no ET term),eki_TAI,health,juba raseduse jälgimise ajal raseda enda soovil kodus planeeritud ja toimuv sünnitus,https://sonaveeb.ee/search/unif/dlall/TAI/home%20birth
honeymooning imagery,mesinädalate kujutlus,eki_skt,psychology/therapy,"kogemuslik kujutlustehnika paariskeemiteraapias, mille eesmärk on aktiveerida partnerite positiivseid mälestusi teineteisest ja taastada nende emotsio...",https://sonaveeb.ee/search/unif/dlall/skt/honeymooning%20imagery
hospital cancer registry,haigla vähiregister,eki_TAI,health,"vähiregister, mis peab arvestust haiglasse sattunud vähihaigete üle ja mille peamine ülesanne on ravikvaliteedi hindamine",https://sonaveeb.ee/search/unif/dlall/TAI/hospital%20cancer%20registry
housing costs,(no ET term),eki_TAI,health,eluaseme saamise ja ülalpidamise kulud,https://sonaveeb.ee/search/unif/dlall/TAI/housing%20costs
housing expenses,(no ET term),eki_TAI,health,eluaseme saamise ja ülalpidamise kulud,https://sonaveeb.ee/search/unif/dlall/TAI/housing%20expenses
HPV self-sampling test,HPV kodutest,eki_TAI,health,"iseseisvalt tupest võtav proov, mis on mõeldud inimese papilloomviiruse (HPV) avastamiseks",https://sonaveeb.ee/search/unif/dlall/TAI/HPV%20self-sampling%20test
HPV test,(no ET term),eki_TAI,health,"inimese papilloomviiruse (HPV) kõrge riskiga viirusvariantide avastamiseks mõeldud uuring, mille jaoks võetakse günekoloogilisel läbivaatusel emakakae...",https://sonaveeb.ee/search/unif/dlall/TAI/HPV%20test
hypercriticalness,jäigad standardid,eki_skt,psychology/therapy,"eeldus, et peab vastama väga kõrgetele internaliseerunud sisemistele käitumise ja sooritusega seotud standarditele vältimaks (võimaliku) kriitika osal...",https://sonaveeb.ee/search/unif/dlall/skt/hypercriticalness
hypervigilance and inhibition,ülivalvsus ja pidurdatus,eki_skt,psychology/therapy,"skeemi valdkond, mille aluseks on äärmuslik keskendumine oma spontaansete tunnete, impulsside, valikute allasurumisele või püüd vastata sisemistele jä...",https://sonaveeb.ee/search/unif/dlall/skt/hypervigilance%20and%20inhibition
iatrogenic effect,(no ET term),eki_TAI,health,"mitteootuspärane mõju, Nt laste liikumisaktiivsuse suurendamine võib suurendada enesehinnangulist üksteisega arvestamist, kuid võib kaasa tuua ka last...",https://sonaveeb.ee/search/unif/dlall/TAI/iatrogenic%20effect
ICD-O,RHK-O,eki_TAI,health,Rahvusvaheline Haiguste Klassifikatsioon: Onkoloogia,https://sonaveeb.ee/search/unif/dlall/TAI/ICD-O
ICF,rahvusvaheline funktsioneerimisvõime klassifikatsioon,eki_TAI,health,rahvusvaheline funktsioneerimisvõime klassifikatsioon tervise ja tervisega seotud seisundite kirjeldamiseks,https://sonaveeb.ee/search/unif/dlall/TAI/ICF
identifier,(no ET term),eki_TAI,health,"üks v mitu märki, mida kasutatakse andmeelemendi vm objekti tuvastamiseks v nimetamiseks; võib tähistada ka objekti teatud omadusi",https://sonaveeb.ee/search/unif/dlall/TAI/identifier
imagery rescripting,kujutluses ümberkirjutamine,eki_skt,psychology/therapy,"terapeutiline tehnika, mis võimaldab korrigeerida käesolevate probleemidega seotud varasemate traumaatiliste mälestuste tähendusi, Imagery rescripting...",https://sonaveeb.ee/search/unif/dlall/skt/imagery%20rescripting
impaired autonomy and achievement,kahjustunud autonoomia ja toimetulek,eki_skt,psychology/therapy,"skeemi valdkond, mille aluseks on eeldused enese ning end ümbritseva kohta, mis segavad tajutud suutlikkust eralduda, iseseisvalt ellu jääda, funktsio...",https://sonaveeb.ee/search/unif/dlall/skt/impaired%20autonomy%20and%20achievement
impaired limits,kahjustunud piirid,eki_skt,psychology/therapy,"skeemi valdkond, mille aluseks on puudulik piiritunnetus, mis väljendub raskustes eneseregulatsioonis ja suhetes - vastutuse võtmises, teiste õiguste ...",https://sonaveeb.ee/search/unif/dlall/skt/impaired%20limits
IMPROVE the moment,oskus LEPPIMA,eki_dkt,psychology/therapy,"Hulk konkreetsele inimesele sobivaid DKT strateegiaid, mis aitavad parandada hetke kvaliteeti, tehes kriisi üleelamise lihtsamaks. Hetke parandamiseks...",https://sonaveeb.ee/search/unif/dlall/dkt/IMPROVE%20the%20moment
impulsive child mode,impulsiivse lapse olek,eki_skt,psychology/therapy,"lapse olek, milles püütakse täita oma soove ja tahtmisi isekal moel mõtlemata tagajärgedele. Selles olekus ei suudeta kontrollida oma tundeid ega impu...",https://sonaveeb.ee/search/unif/dlall/skt/impulsive%20child%20mode
in situ tumour,(no ET term),eki_TAI,health,"tekkekohaga piirdunud, ümbritsevasse koesse levimata kasvaja",https://sonaveeb.ee/search/unif/dlall/TAI/in%20situ%20tumour
incidence,avaldumus,eki_TAI,health,"näitaja, mis väljendab uute juhtude teket algselt tulemivabas rahvastikus kindlal ajavahemikul",https://sonaveeb.ee/search/unif/dlall/TAI/incidence
incompetence,(no ET term),eki_skt,psychology/therapy,"eeldus, et ollakse võimetu pädevana toimima igapäevaelu kohustustes toetumata olulisel määral teiste abile (nt enese eest hoolt kandma, lahendama igap...",https://sonaveeb.ee/search/unif/dlall/skt/incompetence
indicated prevention,näidustatud ennetus,eki_TAI,health,"ennetus, mis on suunatud inimestele, kellel on suur risk probleemi kujunemiseks või on probleem juba osaliselt ilmnenud, Nt haavatavamate laste (keda ...",https://sonaveeb.ee/search/unif/dlall/TAI/indicated%20prevention
individual therapy,individuaalteraapia,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia komponent, mille käigus jälgitakse oma terapeudiga üks-ühele kohtumiste käigus ravieesmärkide täitmist ja toetatakse mot...",https://sonaveeb.ee/search/unif/dlall/dkt/individual%20therapy
induced abortion,(no ET term),eki_TAI,health,vähem kui 12 nädalat kestnud raseduse katkestamine naise omal soovil või kauem kui 12 ja vähem kui 22 nädalat kestnud raseduse katkestamine naise või ...,https://sonaveeb.ee/search/unif/dlall/TAI/induced%20abortion
infant mortality,(no ET term),eki_TAI,health,alla üheaastaste elusalt sündinud laste suremus,https://sonaveeb.ee/search/unif/dlall/TAI/infant%20mortality
infant mortality rate,imikusuremuskordaja,eki_TAI,health,Imikusurmade (alla aastaste laste surmade) arv 1000 sama aasta elussündinu kohta. (6),https://sonaveeb.ee/search/unif/dlall/TAI/infant%20mortality%20rate
informing,(no ET term),eki_kriis,crisis,asjakohase teabe edastamine olukorra ja sellega kaasnevate asjaolude selgitamiseks ja vajaduspõhiseks kasutamiseks,https://sonaveeb.ee/search/unif/dlall/kriis/informing
inhibited grieving,allasurutud lein,eki_dkt,psychology/therapy,"traumaatiliste kogemuste ja kaotustega kaasnev lein, millega toimetulekuks kasutatakse eelkõige vältivaid strateegiaid",https://sonaveeb.ee/search/unif/dlall/dkt/inhibited%20grieving
input for intervention,ennetustegevuse sisend,eki_TAI,health,ennetustegevuse elluviimiseks olemasolevad ressursid,https://sonaveeb.ee/search/unif/dlall/TAI/input%20for%20intervention
instability,(no ET term),eki_skt,psychology/therapy,"eeldus, et kõik elu jooksul loodud tähtsad suhted katkevad ning sellest tulenev pidev mure hülgamise ees, the feeling that important relationships whi...",https://sonaveeb.ee/search/unif/dlall/skt/instability
insufficient self-control,puudulik enesedistsipliin,eki_skt,psychology/therapy,"eeldus, et ei suudeta eesmärgistatud tegevustes enesedistsiplineerimisega kaasnevat ebamugavustunnet ära taluda, mis väljendub impulsi kontrolli ja em...",https://sonaveeb.ee/search/unif/dlall/skt/insufficient%20self-control
insufficient self-discipline,(no ET term),eki_skt,psychology/therapy,"eeldus, et ei suudeta eesmärgistatud tegevustes enesedistsiplineerimisega kaasnevat ebamugavustunnet ära taluda, mis väljendub impulsi kontrolli ja em...",https://sonaveeb.ee/search/unif/dlall/skt/insufficient%20self-discipline
interest group,(no ET term),eki_TAI,health,"Rohkem või vähem organiseeritud inimrühmad, kes taotlevad mõju avaldamist poliitikale nende huve puudutavates küsimustes",https://sonaveeb.ee/search/unif/dlall/TAI/interest%20group
intermittent reinforcement,vahelduv sarrustamine,eki_dkt,psychology/therapy,"soovitud käitumise tõenäosuse suurendamise strateegia, kus soovitud käitumise ilmnemist kinnitatakse vahetevahel",https://sonaveeb.ee/search/unif/dlall/dkt/intermittent%20reinforcement
International Classification of Functioning,(no ET term),eki_TAI,health,rahvusvaheline funktsioneerimisvõime klassifikatsioon tervise ja tervisega seotud seisundite kirjeldamiseks,https://sonaveeb.ee/search/unif/dlall/TAI/International%20Classification%20of%20Functioning
"International Classification of Functioning, Disability and Health",(no ET term),eki_TAI,health,rahvusvaheline funktsioneerimisvõime klassifikatsioon tervise ja tervisega seotud seisundite kirjeldamiseks,https://sonaveeb.ee/search/unif/dlall/TAI/International%20Classification%20of%20Functioning%2C%20Disability%20and%20Health
interpersonal effectiveness skills,inimestevahelise tõhususe oskused,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia oskuste treeningu moodul, mis keskendub sellele, kuidas suhelda oma suhtlusvõrgustikuga tõhusalt, kutsuda teiste käitumi...",https://sonaveeb.ee/search/unif/dlall/dkt/interpersonal%20effectiveness%20skills
interval cancer,intervallvähk,eki_TAI,health,"kahe sõeluuringu vahel inimesel diagnoositud pahaloomuline kasvaja (rinnavähk, jämesoolevähk, emakakaelavähk)",https://sonaveeb.ee/search/unif/dlall/TAI/interval%20cancer
intervention activity,ennetuslik sekkumine,eki_TAI,health,"ennetusteenus, -toetus, -vahend vms, mis aitab probleemi või selle süvenemist ära hoida, Nt vanemate tugirühmad vanemlike oskuste arendamiseks, sünnie...",https://sonaveeb.ee/search/unif/dlall/TAI/intervention%20activity
intervention fidelity,rakendustruudus,eki_TAI,health,ennetustegevuse määr ja täpsus võrreldes juhendmaterjalide ja ettekirjutustega,https://sonaveeb.ee/search/unif/dlall/TAI/intervention%20fidelity
intervention reach,ennetustegevuse ulatus,eki_TAI,health,"sihtrühmast kaasatute hulk, Nt tegelik sõeluuringus osalenute osakaal",https://sonaveeb.ee/search/unif/dlall/TAI/intervention%20reach
intranatal,intranataalne,eki_TAI,health,"sünnituse käigus toimuv, nt intranataalne surm, intranataalne surnultsünd; võrdle antenataalne",https://sonaveeb.ee/search/unif/dlall/TAI/intranatal
invalidation,invalideerimine,eki_dkt,psychology/therapy,"inimese kogemusele reageerimine viisil, mis annab tagasiside, et tema kogemus ei ole loogiline, mõistetav ega oluline",https://sonaveeb.ee/search/unif/dlall/dkt/invalidation
inversion,skeemile vastandumine,eki_skt,psychology/therapy,"the way of the schema handling where the person deals with EMS activation by believing the opposite of the EMS is true, reageerimise viis, mille puhul...",https://sonaveeb.ee/search/unif/dlall/skt/inversion
invitations sent,kutse saadetud,eki_TAI,health,"vähi sõeluuringu kontekstis inimene, kellele on saadetud sõeluuringu e-kutse riigiportaalis eesti.ee suunatud meiliaadressile või suunamise puudumisel...",https://sonaveeb.ee/search/unif/dlall/TAI/invitations%20sent
invite sent,(no ET term),eki_TAI,health,"vähi sõeluuringu kontekstis inimene, kellele on saadetud sõeluuringu e-kutse riigiportaalis eesti.ee suunatud meiliaadressile või suunamise puudumisel...",https://sonaveeb.ee/search/unif/dlall/TAI/invite%20sent
irreverence,hinnangulisus,eki_dkt,psychology/therapy,"kommunikatsiooni strateegia, kus terapeut vastab tavapärasest erinevalt, et saada kliendi tähelepanu, leida alternatiivset vaatenurka või muuta kliend...",https://sonaveeb.ee/search/unif/dlall/dkt/irreverence
job burnout,ametialane läbipõlemine,eki_kriis,crisis,"stressisündroom, mille sisuks on üheaegselt füüsiline, psüühiline ja emotsionaalne kurnatus ning tööga seonduv ebapiisavuse tunne",https://sonaveeb.ee/search/unif/dlall/kriis/job%20burnout
laterality,lateraalsus,eki_TAI,health,paariselundite kohta: emmas-kummas elundis esinemine (nt parema rinna pahaloomuline kasvaja),https://sonaveeb.ee/search/unif/dlall/TAI/laterality
LBC,LBC uuring,eki_TAI,health,"vedelikul baseeruv günekotsütoloogiline uuring, mida kasutatakse emakakaelavähi ja vähieelsete muutuste avastamiseks",https://sonaveeb.ee/search/unif/dlall/TAI/LBC
legal custody,(no ET term),eki_TAI,health,"piiratud teovõimega inimese varaliste ja isiklike õiguste ja huvide kaitsmise viis, üks asendushoolduse viise laste puhul",https://sonaveeb.ee/search/unif/dlall/TAI/legal%20custody
legal guardian,(no ET term),eki_TAI,health,"piiratud teovõimega inimese (eestkostetava) seaduslik esindaja, kellel on õigus ja kohustus hoolitseda eestkostetava inimese ja vara eest kohtu määrat...",https://sonaveeb.ee/search/unif/dlall/TAI/legal%20guardian
legal guardianship,(no ET term),eki_TAI,health,"piiratud teovõimega inimese varaliste ja isiklike õiguste ja huvide kaitsmise viis, üks asendushoolduse viise laste puhul",https://sonaveeb.ee/search/unif/dlall/TAI/legal%20guardianship
life worth living,elamist väärt elu,eki_dkt,psychology/therapy,"dialektilises käitumisteraapias elu, mis on rahuldustpakkuv, väärtustega kooskõlaline ning tähendusrikas",https://sonaveeb.ee/search/unif/dlall/dkt/life%20worth%20living
life-threatening behavior,eluohtlik käitumine,eki_dkt,psychology/therapy,"käitumine, millega kaasneb kõrge suitsiidrisk",https://sonaveeb.ee/search/unif/dlall/dkt/life-threatening%20behavior
limited reparenting,piiritletud vanemlikkus,eki_skt,psychology/therapy,"terapeutilise suhte tehnika, milles terapeudi olemise viis ja käitumine on suunatud kliendi emotsionaalsete baasvajaduste korrigeerivale täitmisele, T...",https://sonaveeb.ee/search/unif/dlall/skt/limited%20reparenting
link,(no ET term),eki_dkt,psychology/therapy,"(inimesi) seesmiselt ühtseks, kokkukuuluvaks muutma, mõtteliselt või tunnetes ühendama",https://sonaveeb.ee/search/unif/dlall/dkt/link
liquid-based cytology,(no ET term),eki_TAI,health,"vedelikul baseeruv günekotsütoloogiline uuring, mida kasutatakse emakakaelavähi ja vähieelsete muutuste avastamiseks",https://sonaveeb.ee/search/unif/dlall/TAI/liquid-based%20cytology
livebirth,(no ET term),eki_TAI,health,"elutunnustega lapse sünd sõltumata raseduse kestusest; elutunnused on hingamine, südamelöögid, nabaväädi pulsatsioon ja tahtele alluvate lihaste ilmse...",https://sonaveeb.ee/search/unif/dlall/TAI/livebirth
localized cancer,lokaalne vähk,eki_TAI,health,"invasiivne kasvaja, mis ei ole algkoldest kaugemale levinud",https://sonaveeb.ee/search/unif/dlall/TAI/localized%20cancer
long-term effect,pikaajaline mõju,eki_TAI,health,"mõju, mis kestab pikka aega, Nt pikka aega kestev õpetajate pädevuse tõstmise mõju laste heaolule",https://sonaveeb.ee/search/unif/dlall/TAI/long-term%20effect
loving kindness,(no ET term),eki_dkt,psychology/therapy,konfutsianismis inimlikkusega tihedalt seotud mõiste,https://sonaveeb.ee/search/unif/dlall/dkt/loving%20kindness
maladaptive coping mode,düsfunktsionaalne kaitseolek,eki_skt,psychology/therapy,"üks kategooria skeemi olekutest, mille eesmärk on psühholoogiliselt kaitsta aktiveerunud skeemiga kaasnevate ebameeldivate emotsioonide eest, The Mala...",https://sonaveeb.ee/search/unif/dlall/skt/maladaptive%20coping%20mode
malignant tumour,invasiivne kasvaja,eki_TAI,health,"kasvaja, millele on iseloomulik anaplaasia (puudulik diferentseerumine), invasioon (kudedesse tungimine) ja metastaasid ehk siirdekolded",https://sonaveeb.ee/search/unif/dlall/TAI/malignant%20tumour
malnutrition,(no ET term),eki_TAI,health,söötmine mille puhul loomad ei saa piisavalt organismile vajalikke toitaineid,https://sonaveeb.ee/search/unif/dlall/TAI/malnutrition
mammography,(no ET term),eki_TAI,health,"radioloogiline rinnauuring, mille käigus tehakse rinnast röntgenipilt ehk mammogramm ning mis on mõeldud vähieelsete seisundite ja rinnavähi varaseks ...",https://sonaveeb.ee/search/unif/dlall/TAI/mammography
mean annual population,aastakeskmine rahvaarv,eki_TAI,health,"pool elanike aasta alguse ja aasta lõpu koguarvust; kasutatakse ka kordajate arvutamisel, nagu näiteks sündimuse üldkordaja",https://sonaveeb.ee/search/unif/dlall/TAI/mean%20annual%20population
means of aid,(no ET term),eki_TAI,health,"toode, mis aitab parandada inimese funktsioneerimisvõimet, kompenseerida funktsioonihäiret ja saavutada või säilitada igapäevaeluga võimalikult isesei...",https://sonaveeb.ee/search/unif/dlall/TAI/means%20of%20aid
means of assistance,(no ET term),eki_TAI,health,"toode, mis aitab parandada inimese funktsioneerimisvõimet, kompenseerida funktsioonihäiret ja saavutada või säilitada igapäevaeluga võimalikult isesei...",https://sonaveeb.ee/search/unif/dlall/TAI/means%20of%20assistance
medical abortion,(no ET term),eki_TAI,health,vähem kui 12 nädalat kestnud raseduse katkestamine naise omal soovil või kauem kui 12 ja vähem kui 22 nädalat kestnud raseduse katkestamine naise või ...,https://sonaveeb.ee/search/unif/dlall/TAI/medical%20abortion
medical death certificate,(no ET term),eki_TAI,health,death certificate - the legal document issued by a qualified medical practitioner certifying the death of a person and stating the cause if known,https://sonaveeb.ee/search/unif/dlall/TAI/medical%20death%20certificate
melanoma in situ,(no ET term),eki_TAI,health,"tekkekohaga piirdunud, ümbritsevasse koesse levimata kasvaja",https://sonaveeb.ee/search/unif/dlall/TAI/melanoma%20in%20situ
microscopically verified case,mikroskoopilise kinnitusega juht,eki_TAI,health,"vähijuht, mille diagnoos on mikroskoopiliselt, st histoloogilise (k.a lahang histoloogilise uuringuga), tsütoloogilise või hematoloogilise uuringu alu...",https://sonaveeb.ee/search/unif/dlall/TAI/microscopically%20verified%20case
middle path,(no ET term),eki_dkt,psychology/therapy,"budismi olemust iseloomustav mõiste, mis määratleb seda kui äärmuste vältimist",https://sonaveeb.ee/search/unif/dlall/dkt/middle%20path
mindfulness,teadvelolek,eki_dkt,psychology/therapy,"vaimne seisund, millele on tunnuslik oma kogemuste ärgas jälgimine reaalajas",https://sonaveeb.ee/search/unif/dlall/dkt/mindfulness
mindfulness of current thoughts,teadvelolek hetke mõtetest,eki_dkt,psychology/therapy,"DKT oskus, mis hõlmab oma mõtete minna ja tulla laskmist ning nende vaatlemist püüdeta neid kontrollida või muuta. Mõtteid vaadeldakse kui mõtteid, mi...",https://sonaveeb.ee/search/unif/dlall/dkt/mindfulness%20of%20current%20thoughts
mindfulness of others,teistest teadvelolek,eki_dkt,psychology/therapy,"suhete loomise üks osa, mis seisneb teiste inimeste jälgimises ja tähelepanelikkuses nende suhtes, nähtu hinnanguvabas kirjeldamises ning suhtlusvoos ...",https://sonaveeb.ee/search/unif/dlall/dkt/mindfulness%20of%20others
missing-links analysis,puuduvate lülide analüüs,eki_dkt,psychology/therapy,"ahelanalüüsi liik, mille eesmärk on tuvastada takistused ehk puuduvad lülid, mis ilmnesid olukordades, kus inimene ei ole teinud kokkulepitud tegevust",https://sonaveeb.ee/search/unif/dlall/dkt/missing-links%20analysis
mistrust,(no ET term),eki_skt,psychology/therapy,"eeldus, et saadakse teiste poolt kuritarvitatud, alandatud või muul moel halvasti koheldud ning sellest tulenev pidev kahtlus, et teised teevad neile ...",https://sonaveeb.ee/search/unif/dlall/skt/mistrust
mode clash,olekute kokkupõrge,eki_skt,psychology/therapy,"inimestevahelises suhtluses esinev olekute tsükkel ehk negatiivne suhtetsükkel, milles vastastikku käivitunud toimetulekuolekud viivad suhtluse eskale...",https://sonaveeb.ee/search/unif/dlall/skt/mode%20clash
mode cycle,olekute tsükkel,eki_skt,psychology/therapy,"kahe inimese olekute interaktsiooni tsirkulaarsuse tulemus ehk suhtetsükkel, mis võib olla nii fuktsionaalne kui düsfunktsionaalne",https://sonaveeb.ee/search/unif/dlall/skt/mode%20cycle
mode cycle clash-card,olekute kokkupõrke kaart,eki_skt,psychology/therapy,"a methodical tool of schema couples therapy that helps to conceptualize couple dynamics which describes triggers, different schema modes and needs of ...",https://sonaveeb.ee/search/unif/dlall/skt/mode%20cycle%20clash-card
